dataset,gender,n_speakers,%_speakers,n_segs,%_segs
train,F,581,0.4841666666666667,2746,0.4937072995325423
train,M,619,0.5158333333333334,2816,0.5062927004674578
val,F,194,0.485,898,0.48488120950323976
val,M,206,0.515,954,0.5151187904967602
test,F,259,0.4850187265917603,596,0.494195688225539
test,M,275,0.5149812734082397,610,0.5058043117744611
